game_id;result;moves;board
45;draw;11-15,23-19,8-11,22-17,11-16,24-20,15x24,20x11,7x16,27x20x11,3-7,25-22,7x16,22-18,9-14,18x9,5x14,29-25,4-8,32-27,8-11,25-22,11-15,17-13,16-20,26-23,2-7,23-19,15x24,28x19,14-17,21x14,10x17x26,30x23,6-10,13-9,10-14,19-15,14-17,23-18,17-22,18-14,22-25,15-10,7-11,10-7,11-16;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
46;black_win;11-15,23-19,9-14,22-17,5-9,26-23,1-5,24-20,15x24,28x19,14-18,23x14,9x18,17-14,10x17,21x14,8-11,19-15,6-9,15x8,4x11,31-26,11-15,26-23,15-19,23x16,12x19,20-16,7-10,14x7,2x11x20,30-26,19-24,26-22,24x31,22x15,3-7,25-22,31-26;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
47;black_win;11-15,23-19,7-11,26-23,9-14,22-17,11-16,25-22,5-9,17-13,3-7,29-25,1-5,22-17,8-11,31-26,4-8,25-22,16-20,23-18,14x23,27x18,20x27,32x23,15x24,28x19,11-16,17-14,10x17,21x14,16-20,19-15,7-11,14-10,20-24,10x1,9-14,18x9,11x18x27,9-6,2x9,13x6,27-31,6-2,12-16,1-6,24-28,6-10,28-32,10-7,32-27,7-3,8-12,3-7,16-20,7-11,12-16,2-6,16-19,11-7,20-24,7-10,24-28,10-14,19-23,26x19,31-26,30x23,27x18x9x2;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
48;black_win;11-15,23-19,9-14,22-17,5-9,26-23,9-13,24-20,15x24,28x19,13x22,25x18x9,6x13,31-26,8-11,23-18,3-8,20-16,11x20,26-23,13-17,21x14,10x17,18-14,17-22,19-15,8-11,15x8,4x11,32-28,22-26,23-18,26-31,28-24,11-15,18x11,7x16,14-10,2-6;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
49;draw;11-15,23-19,7-11,26-23,9-14,22-17,11-16,25-22,5-9,17-13,3-7,29-25,1-5,22-17,8-11,31-26,4-8,25-22,16-20,23-18,14x23,27x18,20x27,32x23,15x24,28x19,11-16,17-14,10x17,21x14,16-20,19-15,7-11,14-10,20-24,10x1,9-14,18x9,11x18x27,9-6,2x9,13x6,27-31,6-2,12-16,2-7,16-20,26-23,8-12,23-18,24-27,30-25,20-24,25-21,5-9,22-17,9-13,17-14;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
50;draw;11-15,23-18,8-11,27-23,4-8,23-19,9-14,18x9,5x14,22-17,6-9,25-22,9-13,26-23,1-6,30-25,15-18,22x15,11x18x27,32x23,13x22,25x18x9,6x13,29-25,13-17,21x14,10x17,19-16,12x19x26,31x22x13,8-11,24-19,11-15,19x10,7x14,13-9,14-18;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
51;draw;11-15,23-19,9-14,22-17,5-9,17-13,14-18,19-16,12x19,26-23,19x26,30x23x14x5,10-14,24-19,15x24,28x19,8-11,25-22,6-10,13-9,1-6,27-23,6x13,22-18,14-17,21x14,10x17,32-27,17-22,5-1,13-17,1-5,17-21,18-14,7-10,14x7,3x10,27-24,21-25,23-18,25-30,24-20,4-8,19-16,30-26,16x7,2x11,18-14,10x17,29-25,22x29,31x22x13;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
52;draw;11-15,22-17,15-19,24x15,10x19,23x16,12x19,25-22,8-11,30-25,4-8,22-18,9-13,18-14,13x22,25x18,8-12,29-25,11-16,27-23,16-20,23x16,12x19,32-27,6-9,25-22,1-6,27-24,20x27,31x24x15,7-10,14x7,3x10x19,18-15,9-14,15-11,6-9,22-17,14-18,17-13,18-23,13x6,23x30,6-1,30-26,21-17,26-23,11-8,23-18,17-13,18-15,1-6,2x9,13x6,15-10,6-2;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
53;draw;11-15,23-19,9-14,22-17,7-11,25-22,11-16,26-23,5-9,17-13,3-7,29-25,1-5,22-17,8-11,31-26,16-20,19-16,12x19,23x16,14-18,26-23,18-22,25x18,15x22,23-18,22-25,17-14,10x17,21x14,11-15,18x11,9x18,30x21,18-22,21-17,22-26,24-19,26-30,17-14,30-26,19-15,26-22,13-9,6x13,15-10,22-17,10x3,17x10,11-7,2x11,16x7,5-9,7-2,9-14,27-23,13-17,2-7,4-8,3x12,10x3,23-19,17-22,19-15,22-26,15-10,26-30,28-24,20x27,32x23,30-26,23-19,26-22,10-6,22-18,6-2,14-17,12-16,17-22,16-20,22-26,19-16,18-15,16-12,26-31,20-24,15-11,2-6;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
54;black_win;11-15,23-19,7-11,26-23,3-7,21-17,11-16,25-21,7-11,17-13,9-14,24-20,15x24,28x19,11-15,20x11,15x24,27x20,8x15,30-26,4-8,31-27,15-18,22x15,10x19,23x16,12x19,20-16,8-11,16x7,2x11,32-28,14-18,27-24,11-15,24-20,18-23,26-22,23-26,20-16,26-30,16-11,30-25,22-17,25-22,11-7,6-9,13x6,22x13,6-2,1-6,2x9,13x6,7-3,6-10,21-17,15-18,29-25,18-23,25-21,10-15,17-14,23-26,3-7,26-30,7-2,30-26,2-6,26-22,6-1,5-9,14x5,15-10;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
